Source path,Class name,Method name,Method signature,Cyclomatic complexity,Cognitive complexity,Max nesting depth,Line count,Parameter count,ABC score,Assignments,Branches,Conditions,Halstead volume,Halstead difficulty,Halstead estimated bugs
src/main/java/org/openrewrite/polyglot/NoopProgressBar.java,org.openrewrite.polyglot.NoopProgressBar,intermediateResult,"org.openrewrite.polyglot.NoopProgressBar{name=intermediateResult,return=void,parameters=[java.lang.String]}",1,0,0,3,1,0.0,0,0,0,0.0,0.0,0.0
src/main/java/org/openrewrite/polyglot/NoopProgressBar.java,org.openrewrite.polyglot.NoopProgressBar,finish,"org.openrewrite.polyglot.NoopProgressBar{name=finish,return=void,parameters=[java.lang.String]}",1,0,0,4,1,0.0,0,0,0,0.0,0.0,0.0
src/main/java/org/openrewrite/polyglot/NoopProgressBar.java,org.openrewrite.polyglot.NoopProgressBar,close,"org.openrewrite.polyglot.NoopProgressBar{name=close,return=void,parameters=[]}",1,0,0,4,0,0.0,0,0,0,0.0,0.0,0.0
src/main/java/org/openrewrite/polyglot/NoopProgressBar.java,org.openrewrite.polyglot.NoopProgressBar,step,"org.openrewrite.polyglot.NoopProgressBar{name=step,return=void,parameters=[]}",1,0,0,4,0,0.0,0,0,0,0.0,0.0,0.0
src/main/java/org/openrewrite/polyglot/NoopProgressBar.java,org.openrewrite.polyglot.NoopProgressBar,setExtraMessage,"org.openrewrite.polyglot.NoopProgressBar{name=setExtraMessage,return=org.openrewrite.polyglot.ProgressBar,parameters=[java.lang.String]}",1,0,0,5,1,0.0,0,0,0,0.0,0.0,0.0
src/main/java/org/openrewrite/polyglot/NoopProgressBar.java,org.openrewrite.polyglot.NoopProgressBar,setMax,"org.openrewrite.polyglot.NoopProgressBar{name=setMax,return=org.openrewrite.polyglot.ProgressBar,parameters=[int]}",1,0,0,5,1,0.0,0,0,0,0.0,0.0,0.0
src/main/java/org/openrewrite/polyglot/OmniParser.java,org.openrewrite.polyglot.OmniParser,parseInputs,"org.openrewrite.polyglot.OmniParser$1{name=parseInputs,return=java.util.stream.Stream<org.openrewrite.SourceFile>,parameters=[java.lang.Iterable<org.openrewrite.Parser$Input>,java.nio.file.Path,org.openrewrite.ExecutionContext]}",1,0,0,4,3,1.0,0,1,0,8.0,1.0,0.0
src/main/java/org/openrewrite/polyglot/OmniParser.java,org.openrewrite.polyglot.OmniParser,accept,"org.openrewrite.polyglot.OmniParser$1{name=accept,return=boolean,parameters=[java.nio.file.Path]}",1,0,0,5,1,0.0,0,0,0,2.0,0.5,0.0
src/main/java/org/openrewrite/polyglot/OmniParser.java,org.openrewrite.polyglot.OmniParser,sourcePathFromSourceText,"org.openrewrite.polyglot.OmniParser$1{name=sourcePathFromSourceText,return=java.nio.file.Path,parameters=[java.nio.file.Path,java.lang.String]}",1,0,0,5,2,0.0,0,0,0,2.0,0.5,0.0
src/main/java/org/openrewrite/polyglot/OmniParser.java,org.openrewrite.polyglot.OmniParser,defaultResourceParsers,"org.openrewrite.polyglot.OmniParser{name=defaultResourceParsers,return=java.util.List<org.openrewrite.Parser>,parameters=[]}",1,0,0,21,0,15.0,0,15,0,144.43,3.21,0.02
